category,sub_category,price,image_url,addr_pr,slug,store,name
IMPRESSION,Consommables,"169,000 DT",http://www.mytek.tn/31502-large_default/cartouche-jet-dencre-hp-134-couleur-lot-de-2-tunsie.jpg,http://www.mytek.tn/cartouche-tunisie/6009-cartouche-jet-dencre-hp-134-couleur-lot-de-2-tunsie.html,,My Teck,Cartouche Jet d'Encre HP 134 Couleur (lot de 2)
IMPRESSION,Consommables,"189,000 DT",http://www.mytek.tn/31476-large_default/cartouche-dencre-designjet-hp-72-130-ml-tunsie.jpg,http://www.mytek.tn/cartouche-tunisie/5999-cartouche-dencre-designjet-hp-72-130-ml-tunsie.html,,My Teck,Cartouche d'encre DesignJet HP 72 130 ml Cyan
IMPRESSION,Consommables,"189,000 DT",http://www.mytek.tn/31469-large_default/cartouche-dencre-hp-72-noir-photo-130-ml-tunsie.jpg,http://www.mytek.tn/cartouche-tunisie/5997-cartouche-dencre-hp-72-noir-photo-130-ml-tunsie.html,,My Teck,Cartouche d'encre HP 72 Noir Photo 130 ml
IMPRESSION,Consommables,"189,000 DT",http://www.mytek.tn/31466-large_default/cartouche-dencre-designjet-hp-72-noir-mat-130-ml-tunsie.jpg,http://www.mytek.tn/cartouche-tunisie/5995-cartouche-dencre-designjet-hp-72-noir-mat-130-ml-tunsie.html,,My Teck,Cartouche d'encre DesignJet HP 72 Noir Mat 130 ml
IMPRESSION,Consommables,"179,000 DT",http://www.mytek.tn/31101-large_default/lexmark-toner-dorigine-808y-jaune-tunsie.jpg,http://www.mytek.tn/cartouche-tunisie/5858-lexmark-toner-dorigine-808y-jaune-tunsie.html,,My Teck,Lexmark Toner d'Origine 80C80Y0 - Jaune
IMPRESSION,Consommables,"59,000 DT",http://www.mytek.tn/31516-large_default/cartouche-dencre-hp-129-noir-tunsie.jpg,http://www.mytek.tn/cartouche-tunisie/6015-cartouche-dencre-hp-129-noir-tunsie.html,,My Teck,Cartouche d'Encre HP 129 Noir
IMPRESSION,Consommables,"59,000 DT",http://www.mytek.tn/31517-large_default/cartouche-dencre-hp-88-noir-tunsie.jpg,http://www.mytek.tn/cartouche-tunisie/6017-cartouche-dencre-hp-88-noir-tunsie.html,,My Teck,Cartouche d'Encre HP 88 Noir
IMPRESSION,Consommables,"179,000 DT",http://www.mytek.tn/31103-large_default/lexmark-toner-dorigine-808m-magenta-tunsie.jpg,http://www.mytek.tn/cartouche-tunisie/5859-lexmark-toner-dorigine-808m-magenta-tunsie.html,,My Teck,Lexmark Toner d'Origine 80C80M0 - Magenta
IMPRESSION,Consommables,"139,000 DT",http://www.mytek.tn/31100-large_default/lexmark-toner-dorigine-808k-noir-tunsie.jpg,http://www.mytek.tn/cartouche-tunisie/5857-lexmark-toner-dorigine-808k-noir-tunsie.html,,My Teck,Lexmark Toner d'Origine 80C80K0 - Noir
IMPRESSION,Consommables,"179,000 DT",http://www.mytek.tn/31098-large_default/lexmark-toner-dorigine-808sc-cyan-tunsie.jpg,http://www.mytek.tn/cartouche-tunisie/5856-lexmark-toner-dorigine-808sc-cyan-tunsie.html,,My Teck,Lexmark Toner d'origine 80C80C0 - Cyan
IMPRESSION,Consommables,"20,000 DT",http://www.mytek.tn/30635-large_default/cartouche-hp-652-couleurs-tunsie.jpg,http://www.mytek.tn/cartouche-tunisie/5675-cartouche-hp-652-couleurs-tunsie.html,,My Teck,Cartouche HP 652 Couleurs
IMPRESSION,Consommables,"99,000 DT",http://www.mytek.tn/28268-large_default/hp-cartouche-dencre-82-noir-pour-taceur-tunsie.jpg,http://www.mytek.tn/cartouche-tunisie/4791-hp-cartouche-dencre-82-noir-pour-taceur-tunsie.html,,My Teck,HP CARTOUCHE D'ENCRE 82 NOIR Pour Taceur
IMPRESSION,Imprimantes,"315,000 DT",http://www.mytek.tn/37180-large_default/imprimante-canon-pixma-g1400-a-reservoir-integre-a4.jpg,http://www.mytek.tn/imprimante-et-multifonction-jet-d-encre/7908-imprimante-canon-pixma-g1400-a-reservoir-integre-a4.html,,My Teck,Imprimante Canon PIXMA G1400 à Réservoir Intégré A4
IMPRESSION,Photocopieurs,"8 499,000 DT",http://www.mytek.tn/33098-large_default/pack-photocopieur-multifonction-kyocera-3051ci-couleur.jpg,http://www.mytek.tn/photocopieur-multifonction-couleur-tunisie/6478-pack-photocopieur-multifonction-kyocera-3051ci-couleur.html,,My Teck,Photocopieur Multifonction KYOCERA 3051CI Couleur
IMPRESSION,Imprimantes,"449,000 DT",http://www.mytek.tn/19521-large_default/imprimante-laserjet-pro-hp-cp1025nw-couleur-tunsie.jpg,http://www.mytek.tn/imprimante-et-multifonction-laser-/1241-imprimante-laserjet-pro-hp-cp1025nw-couleur-tunsie.html,,My Teck,Imprimante LaserJet Pro HP CP1025nw Couleur
IMPRESSION,Consommables,"59,000 DT",http://www.mytek.tn/31514-large_default/cartouche-dencre-dorigine-hp-22-couleur-tunsie.jpg,http://www.mytek.tn/cartouche-tunisie/6014-cartouche-dencre-dorigine-hp-22-couleur-tunsie.html,,My Teck,Cartouche d'encre d'origine HP 22 Couleur
BUREAUTIQUE,MATERIEL POINT DE VENTE,"484,000 DT",http://www.mytek.tn/30905-large_default/honeywell-lecteur-code-barre-laser-mk7820-tunsie.jpg,http://www.mytek.tn/douchette/5782-honeywell-lecteur-code-barre-laser-mk7820-tunsie.html,,My Teck,HONEYWELL LECTEUR CODE BARRE LASER MK7820
BUREAUTIQUE,MATERIEL POINT DE VENTE,"99,000 DT",http://www.mytek.tn/29042-large_default/astrum-lecteur-code-a-barre-laser-tunsie.jpg,http://www.mytek.tn/douchette/4518-astrum-lecteur-code-a-barre-laser-tunsie.html,,My Teck,ASTRUM LECTEUR CODE A BARRE LASER
